sku_id,stock_on_hand,reorder_point,safety_stock,avg_weekly_demand,forecast_6w_units,sku_name,category,unit_price,cost_price,weeks_cover,stockout_risk,overstock_ratio,overstock_risk,action,sales_at_risk,capital_locked
SKU00774,0,1321,472,0.875,6.649289615744935,GreenValley Energy Drinks 1kg,Beverages,94.61,73.97,0.0,1.0,0.0,0.0,Reorder Now,331.135,0.0
SKU00823,0,1320,486,1.5,20.72509765625,HealthFirst Surface Cleaners Medium,Home Care,183.03,143.9,0.0,1.0,0.0,0.0,Reorder Now,1098.18,0.0
SKU00830,0,1303,455,1.125,12.105224609375,TrueTaste Ice Cream Medium,Frozen Foods,290.01,208.06,0.0,1.0,0.0,0.0,Reorder Now,1305.045,0.0
SKU00920,0,1260,464,2.375,11.97677283431151,PremiumSelect Sugar & Salt 100g,Grocery,114.73,87.31,0.0,1.0,0.0,0.0,Reorder Now,1089.935,0.0
SKU00942,0,1293,448,2.625,15.098739567417253,FreshFarm Pest Control 1kg,Home Care,172.9,121.42,0.0,1.0,0.0,0.0,Reorder Now,1815.45,0.0
SKU00953,0,1107,375,3.75,12.718419140620473,CityFresh Writing Instruments 250ml,Stationery & Office,273.99,178.24,0.0,1.0,0.0,0.0,Reorder Now,4109.85,0.0
SKU00974,0,823,278,0.375,0.0,CleanWave Chocolates 1kg,Snacks & Confectionery,47.34,34.78,0.0,1.0,0.0,0.0,Reorder Now,71.01,0.0
SKU00994,0,1267,413,4.625,16.5036278262088,NovaFresh Home Decor 2L,Home & Kitchen,602.13,395.46,0.0,1.0,0.0,0.0,Reorder Now,11139.405,0.0
SKU01009,0,1256,419,0.125,0.0,SparkleClean Bath & Body Pack of 6,Personal Care,223.42,155.57,0.0,1.0,0.0,0.0,Reorder Now,111.71,0.0
SKU01021,0,1778,592,1.0,1.40087890625,EverydayPlus First Aid 2L,Health & Wellness,1243.47,702.35,0.0,1.0,0.0,0.0,Reorder Now,4973.88,0.0
SKU01030,0,1257,476,0.875,6.1218074774390745,NutriPlus Sugar & Salt 250g,Grocery,224.5,155.47,0.0,1.0,0.0,0.0,Reorder Now,785.75,0.0
SKU01037,0,1308,444,1.5,5.838038760033735,EliteHome Bottled Water Large,Beverages,178.07,135.2,0.0,1.0,0.0,0.0,Reorder Now,1068.42,0.0
SKU01045,0,1256,428,2.5,13.387902261510941,PurePlus Frozen Meat Medium,Frozen Foods,451.29,256.12,0.0,1.0,0.0,0.0,Reorder Now,4512.900000000001,0.0
SKU01138,0,1541,558,1.125,5.758708319155231,SoftTouch Chips & Crisps 250ml,Snacks & Confectionery,181.15,141.66,0.0,1.0,0.0,0.0,Reorder Now,815.1750000000001,0.0
SKU01153,0,1412,483,0.625,0.700439453125,GreenValley Mobile Accessories 1kg,Electronics & Accessories,897.4,608.31,0.0,1.0,0.0,0.0,Reorder Now,2243.5,0.0
SKU01170,0,1338,470,0.375,3.59814453125,TrueTaste Hair Care 250ml,Personal Care,365.5,226.17,0.0,1.0,0.0,0.0,Reorder Now,548.25,0.0
SKU01189,0,972,350,2.625,12.594813847268753,PureLife Footwear 500g,Apparel & Footwear,2299.8,1412.47,0.0,1.0,0.0,0.0,Reorder Now,24147.9,0.0
SKU01274,0,1452,532,2.125,6.974718818989076,ValueChoice Small Appliances Family Pack,Electronics & Accessories,558.36,313.23,0.0,1.0,0.0,0.0,Reorder Now,4746.06,0.0
SKU01370,0,1392,472,1.125,3.59814453125,PurePlus Laundry 2L,Home Care,195.01,123.07,0.0,1.0,0.0,0.0,Reorder Now,877.545,0.0
SKU01371,0,1230,408,3.125,10.408716505201197,PureLife Cookware 1L,Home & Kitchen,1277.61,907.68,0.0,1.0,0.0,0.0,Reorder Now,15970.124999999998,0.0
SKU01414,0,1467,501,0.625,5.887429398066239,CityFresh Notebooks 2L,Stationery & Office,193.44,136.08,0.0,1.0,0.0,0.0,Reorder Now,483.6,0.0
SKU01420,0,1291,471,5.875,20.432940468596932,GoldenHarvest Notebooks 250g,Stationery & Office,213.65,128.04,0.0,1.0,0.0,0.0,Reorder Now,5020.775000000001,0.0
SKU01438,0,1033,337,0.5,4.298583984375,GreenValley Cooking Oil 100g,Grocery,298.01,182.51,0.0,1.0,0.0,0.0,Reorder Now,596.02,0.0
SKU01466,0,1683,629,0.125,0.0,BasicNeeds Chips & Crisps Pack of 12,Snacks & Confectionery,34.29,27.39,0.0,1.0,0.0,0.0,Reorder Now,17.145,0.0
SKU01485,0,1043,378,0.375,0.0,PrimeCare Men's Grooming 250g,Personal Care,476.18,342.91,0.0,1.0,0.0,0.0,Reorder Now,714.27,0.0
SKU01499,0,43,9,0.5,0.0,EverydayPlus Writing Instruments 1L,Stationery & Office,317.24,217.21,0.0,1.0,0.0,0.0,Reorder Now,634.48,0.0
SKU01578,0,1559,560,1.875,7.2697703306065655,TrueTaste Ice Cream 250ml,Frozen Foods,540.35,338.5,0.0,1.0,0.0,0.0,Reorder Now,4052.625,0.0
SKU01584,0,23,6,0.5,0.0,BasicNeeds Home Decor 250g,Home & Kitchen,1356.9,936.08,0.0,1.0,0.0,0.0,Reorder Now,2713.8,0.0
SKU01662,0,1174,370,1.0,8.018798828125,FamilyChoice OTC Medicine Medium,Health & Wellness,495.84,328.64,0.0,1.0,0.0,0.0,Reorder Now,1983.36,0.0
SKU01784,0,943,328,0.25,5.582946912137926,HealthFirst Writing Instruments 250ml,Stationery & Office,168.81,117.23,0.0,1.0,0.0,0.0,Reorder Now,168.81,0.0
SKU01993,0,847,298,1.0,5.71219862903467,DailyBest Office Supplies Pack of 12,Stationery & Office,142.17,83.84,0.0,1.0,0.0,0.0,Reorder Now,568.68,0.0
SKU02046,0,1452,470,0.125,0.700439453125,ValueChoice Footwear Pack of 6,Apparel & Footwear,2009.47,1591.88,0.0,1.0,0.0,0.0,Reorder Now,1004.735,0.0
SKU02155,0,1050,373,1.875,11.568115234375,HomeStyle Home Decor Medium,Home & Kitchen,1113.48,866.65,0.0,1.0,0.0,0.0,Reorder Now,8351.1,0.0
SKU02176,0,1253,432,0.875,6.19540642347696,CleanWave Footwear Family Pack,Apparel & Footwear,989.87,773.14,0.0,1.0,0.0,0.0,Reorder Now,3464.545,0.0
SKU02247,0,1270,412,0.75,6.488189073995471,CityFresh Writing Instruments 2L,Stationery & Office,179.3,134.06,0.0,1.0,0.0,0.0,Reorder Now,537.9000000000001,0.0
SKU02333,0,1058,350,0.875,7.100341796875,NovaFresh Chocolates Pack of 12,Snacks & Confectionery,53.1,34.47,0.0,1.0,0.0,0.0,Reorder Now,185.85,0.0
SKU02340,0,1371,451,0.5,0.0,HomeStyle Skin Care 2L,Personal Care,234.67,179.48,0.0,1.0,0.0,0.0,Reorder Now,469.34,0.0
SKU02381,0,1397,489,0.25,2.62158203125,SoftTouch Storage & Containers Small,Home & Kitchen,987.93,727.83,0.0,1.0,0.0,0.0,Reorder Now,987.93,0.0
SKU02401,0,1009,378,1.0,6.569091796875,SoftTouch First Aid 100g,Health & Wellness,524.47,385.22,0.0,1.0,0.0,0.0,Reorder Now,2097.88,0.0
SKU02482,0,1188,417,0.625,5.769951128606856,MetroBrand Batteries 2kg,Electronics & Accessories,1297.95,910.7,0.0,1.0,0.0,0.0,Reorder Now,3244.875,0.0
SKU02503,0,1050,370,0.5,7.26953125,PremiumSelect Notebooks 100g,Stationery & Office,280.9,220.49,0.0,1.0,0.0,0.0,Reorder Now,561.8,0.0
SKU02531,0,1600,600,0.25,0.0,MetroBrand Bottled Water 100g,Beverages,143.49,88.48,0.0,1.0,0.0,0.0,Reorder Now,143.49,0.0
SKU02543,0,1225,460,0.125,1.799072265625,CityFresh Storage & Containers Pack of 12,Home & Kitchen,1956.24,1248.98,0.0,1.0,0.0,0.0,Reorder Now,978.12,0.0
SKU02602,0,32,11,0.375,0.700439453125,CrispKing Cooking Oil 2kg,Grocery,220.61,130.07,0.0,1.0,0.0,0.0,Reorder Now,330.915,0.0
SKU02614,0,1043,370,0.25,3.59814453125,FamilyChoice Sugar & Salt Family Pack,Grocery,118.14,80.99,0.0,1.0,0.0,0.0,Reorder Now,118.14,0.0
SKU02640,0,1230,463,0.375,5.611880809868708,NutriPlus Home Decor 250ml,Home & Kitchen,1563.22,888.14,0.0,1.0,0.0,0.0,Reorder Now,2344.83,0.0
SKU02660,0,1427,535,2.5,10.946282690513733,HomeStyle Biscuits & Cookies Family Pack,Snacks & Confectionery,81.91,53.4,0.0,1.0,0.0,0.0,Reorder Now,819.0999999999999,0.0
SKU02692,0,1205,412,2.25,14.032562491589989,CleanWave Mobile Accessories 500ml,Electronics & Accessories,2095.03,1551.16,0.0,1.0,0.0,0.0,Reorder Now,18855.27,0.0
SKU02740,0,1120,416,1.5,6.477045064376949,CrispKing Chips & Crisps Small,Snacks & Confectionery,104.22,65.2,0.0,1.0,0.0,0.0,Reorder Now,625.3199999999999,0.0
SKU02892,0,1396,493,1.25,7.146012326721388,CityFresh Cheese 2kg,Dairy & Bakery,77.05,46.22,0.0,1.0,0.0,0.0,Reorder Now,385.25,0.0
SKU02930,0,1074,393,1.625,6.106091478132518,TrueTaste Pest Control 100g,Home Care,170.16,133.92,0.0,1.0,0.0,0.0,Reorder Now,1106.04,0.0
SKU02950,0,1154,361,0.875,7.1962890625,FreshFarm Eggs 250ml,Dairy & Bakery,251.09,183.84,0.0,1.0,0.0,0.0,Reorder Now,878.815,0.0
SKU02983,0,1223,377,0.875,3.932373046875,SparkleClean Kids Wear 2kg,Apparel & Footwear,1062.71,713.11,0.0,1.0,0.0,0.0,Reorder Now,3719.485,0.0
SKU03053,0,974,333,0.25,4.976134323054794,PremiumSelect Kids Wear Family Pack,Apparel & Footwear,4086.72,3149.1,0.0,1.0,0.0,0.0,Reorder Now,4086.72,0.0
SKU03057,0,1610,511,0.25,2.62158203125,SoftTouch Writing Instruments 1kg,Stationery & Office,206.34,151.61,0.0,1.0,0.0,0.0,Reorder Now,206.34,0.0
SKU03110,0,20,5,0.75,10.30615234375,PureLife Men's Grooming Pack of 6,Personal Care,304.91,183.97,0.0,1.0,0.0,0.0,Reorder Now,914.73,0.0
SKU03199,0,1571,525,0.875,2.8017578125,QuickBite Coffee 500ml,Beverages,78.08,57.97,0.0,1.0,0.0,0.0,Reorder Now,273.28,0.0
SKU03292,0,1346,493,3.875,25.763285238620902,SoftTouch Pulses & Lentils Family Pack,Grocery,164.03,112.68,0.0,1.0,0.0,0.0,Reorder Now,2542.465,0.0
SKU03425,0,1228,416,1.0,6.123830357277445,QuickBite Office Supplies 250g,Stationery & Office,202.48,150.44,0.0,1.0,0.0,0.0,Reorder Now,809.92,0.0
SKU03546,0,1305,499,1.125,6.018950106370084,PrimeCare OTC Medicine Medium,Health & Wellness,496.17,310.3,0.0,1.0,0.0,0.0,Reorder Now,2232.765,0.0
SKU03578,0,1337,454,0.75,6.7080078125,ZestyCo Ready Meals 1L,Frozen Foods,225.73,163.11,0.0,1.0,0.0,0.0,Reorder Now,677.1899999999999,0.0
SKU03633,0,1303,436,0.375,0.0,SunriseFoods Soft Drinks 500ml,Beverages,118.27,78.05,0.0,1.0,0.0,0.0,Reorder Now,177.405,0.0
SKU03743,0,1482,470,0.125,0.0,PremiumSelect Air Fresheners 500g,Home Care,253.24,162.98,0.0,1.0,0.0,0.0,Reorder Now,126.62,0.0
SKU03800,0,1071,357,0.625,5.3434305248993725,ValueChoice Chocolates 250ml,Snacks & Confectionery,114.46,76.17,0.0,1.0,0.0,0.0,Reorder Now,286.15,0.0
SKU03851,0,1353,475,0.375,0.700439453125,SoftTouch Butter & Ghee 500ml,Dairy & Bakery,99.5,74.51,0.0,1.0,0.0,0.0,Reorder Now,149.25,0.0
SKU03870,0,1442,499,0.375,1.310791015625,MetroBrand Mobile Accessories 250g,Electronics & Accessories,301.78,227.63,0.0,1.0,0.0,0.0,Reorder Now,452.66999999999996,0.0
SKU03907,0,1384,509,1.25,8.880120804085172,QuickBite Home Decor 1L,Home & Kitchen,876.73,624.96,0.0,1.0,0.0,0.0,Reorder Now,4383.65,0.0
SKU04035,0,1165,360,0.375,3.59814453125,ValueChoice Sugar & Salt 250g,Grocery,140.98,90.93,0.0,1.0,0.0,0.0,Reorder Now,211.46999999999997,0.0
SKU04041,0,1244,474,1.0,5.980231336796364,PurePlus Laundry 1kg,Home Care,575.93,357.52,0.0,1.0,0.0,0.0,Reorder Now,2303.72,0.0
SKU04156,0,64,21,0.125,0.700439453125,CityFresh Men's Wear 500g,Apparel & Footwear,3610.04,2779.35,0.0,1.0,0.0,0.0,Reorder Now,1805.02,0.0
SKU04166,0,1278,430,1.375,6.130471712941233,NatureBlend Milk 100g,Dairy & Bakery,263.67,154.85,0.0,1.0,0.0,0.0,Reorder Now,1450.1850000000002,0.0
SKU04191,0,1437,479,0.75,5.828057423683573,HomeStyle Spices & Seasoning 2L,Grocery,106.7,80.76,0.0,1.0,0.0,0.0,Reorder Now,320.1,0.0
SKU04305,0,1050,363,1.125,11.8291015625,GoldenHarvest Vitamins & Supplements 2kg,Health & Wellness,782.22,522.72,0.0,1.0,0.0,0.0,Reorder Now,3519.9900000000002,0.0
SKU04329,0,1228,460,2.0,9.15581056715603,SoftTouch Cookware 2kg,Home & Kitchen,2452.07,1697.55,0.0,1.0,0.0,0.0,Reorder Now,19616.56,0.0
SKU04346,0,1466,497,0.5,1.310791015625,HomeStyle First Aid Large,Health & Wellness,970.29,633.56,0.0,1.0,0.0,0.0,Reorder Now,1940.58,0.0
SKU04350,0,1406,467,1.25,6.1975900543859535,NutriPlus Skin Care 250g,Personal Care,394.93,254.76,0.0,1.0,0.0,0.0,Reorder Now,1974.65,0.0
SKU04381,0,1286,459,2.75,14.605533798789896,UrbanBite Spices & Seasoning 100g,Grocery,192.07,120.17,0.0,1.0,0.0,0.0,Reorder Now,2112.77,0.0
SKU04453,0,1289,470,1.5,6.564457068125932,TrueTaste Milk 2L,Dairy & Bakery,265.58,209.09,0.0,1.0,0.0,0.0,Reorder Now,1593.48,0.0
SKU04476,0,903,318,0.125,0.0,PrimeCare Oral Care Pack of 6,Personal Care,134.95,77.45,0.0,1.0,0.0,0.0,Reorder Now,67.475,0.0
SKU04489,0,1224,433,0.625,1.799072265625,PureLife OTC Medicine 250g,Health & Wellness,251.01,200.07,0.0,1.0,0.0,0.0,Reorder Now,627.525,0.0
SKU04508,0,1154,381,1.25,6.7696139371874455,FreshFarm Ready Meals 500ml,Frozen Foods,375.55,236.38,0.0,1.0,0.0,0.0,Reorder Now,1877.75,0.0
SKU04596,0,1211,425,15.5,69.94432024160828,ValueChoice Eggs Pack of 6,Dairy & Bakery,335.55,242.79,0.0,1.0,0.0,0.0,Reorder Now,20804.100000000002,0.0
SKU04627,0,987,351,0.875,5.999596166909976,SunriseFoods Men's Grooming Small,Personal Care,630.47,386.96,0.0,1.0,0.0,0.0,Reorder Now,2206.645,0.0
SKU04663,0,1398,443,0.375,6.569091796875,NovaFresh Frozen Meat 100g,Frozen Foods,715.73,556.48,0.0,1.0,0.0,0.0,Reorder Now,1073.595,0.0
SKU04756,0,1077,368,0.25,0.0,PrimeCare Vitamins & Supplements Medium,Health & Wellness,665.32,496.99,0.0,1.0,0.0,0.0,Reorder Now,665.32,0.0
SKU04783,0,1501,535,0.5,0.0,PureLife Cookware 250g,Home & Kitchen,1943.37,1433.97,0.0,1.0,0.0,0.0,Reorder Now,3886.74,0.0
SKU04824,0,1260,447,0.625,7.969970703125,GoldenHarvest Kids Wear Medium,Apparel & Footwear,1024.94,667.92,0.0,1.0,0.0,0.0,Reorder Now,2562.3500000000004,0.0
SKU04926,0,1269,437,0.5,6.007372503634324,BasicNeeds Skin Care Pack of 6,Personal Care,458.92,266.85,0.0,1.0,0.0,0.0,Reorder Now,917.84,0.0
SKU02368,1,1231,384,1.25,8.724234150824572,SunriseFoods Ready Meals 250ml,Frozen Foods,849.39,651.22,0.8,0.8,0.0,0.0,Reorder Now,3397.56,0.0
SKU02870,1,45,18,1.0,8.198974609375,EliteHome Batteries 100g,Electronics & Accessories,794.71,627.11,1.0,0.75,0.0,0.0,Reorder Now,2384.13,0.0
SKU03353,1,1223,462,0.875,5.2431640625,EverydayPlus Cheese 100g,Dairy & Bakery,48.61,35.71,1.1428571428571428,0.7142857142857143,0.0,0.0,Reorder Now,121.525,0.0
SKU00554,2,49,23,1.25,17.50244140625,TrueTaste Chocolates Medium,Snacks & Confectionery,88.32,49.66,1.6,0.6,0.0,0.0,Reorder Now,264.96,0.0
SKU02079,1,1234,457,0.625,2.62158203125,ValueChoice Yogurt Pack of 6,Dairy & Bakery,153.65,94.76,1.6,0.6,0.0,0.0,Reorder Now,230.47500000000002,0.0
SKU03891,1,74,22,0.5,0.700439453125,MetroBrand Eggs Medium,Dairy & Bakery,159.69,112.65,2.0,0.5,0.42767514813523877,0.21383757406761938,Reorder Now,159.69,33.745495605468754
SKU00456,1,22,10,0.5,2.189697265625,SparkleClean Frozen Vegetables 250ml,Frozen Foods,291.76,194.96,2.0,0.5,0.0,0.0,Reorder Now,291.76,0.0
SKU04895,2,34,8,0.875,4.20263671875,PurePlus Kids Wear Medium,Apparel & Footwear,1875.04,1209.02,2.2857142857142856,0.4285714285714286,0.0,0.0,Healthy,2812.56,0.0
SKU00886,3,31,11,1.125,11.128662109375,HomeStyle Mobile Accessories Pack of 12,Electronics & Accessories,1510.84,1177.07,2.6666666666666665,0.33333333333333337,0.0,0.0,Healthy,2266.26,0.0
SKU03071,1,62,19,0.375,0.0,SunriseFoods Mobile Accessories Pack of 12,Electronics & Accessories,1229.09,690.95,2.6666666666666665,0.33333333333333337,0.0,0.0,Healthy,614.545,690.95
SKU02462,5,1272,407,1.5,7.592611236780396,DailyBest Notebooks 2L,Stationery & Office,171.89,130.56,3.3333333333333335,0.16666666666666663,0.0,0.0,Healthy,171.88999999999996,0.0
SKU00004,148,99,35,0.125,1.310791015625,SunriseFoods Eggs Large,Dairy & Bakery,233.64,156.32,1184.0,0.0,111.90892158688769,1.0,Markdown / Clear,0.0,22930.457148437497
SKU00014,33,76,17,0.625,6.553955078125,EliteHome Men's Grooming Medium,Personal Care,161.5,126.47,52.8,0.0,4.035127584280127,1.0,Markdown / Clear,0.0,3344.6313012695314
SKU00016,106,56,22,0.125,1.310791015625,PrimeCare Men's Wear 500g,Apparel & Footwear,3478.65,2163.92,848.0,0.0,79.86720059601416,1.0,Markdown / Clear,0.0,226539.07310546876
SKU00023,20,39,13,0.375,2.62158203125,MetroBrand Footwear 100g,Apparel & Footwear,2028.91,1381.64,53.333333333333336,0.0,6.628981188303222,1.0,Markdown / Clear,0.0,24010.71740234375
SKU00027,204,113,39,1.0,3.502197265625,TrueTaste Mobile Accessories Small,Electronics & Accessories,608.24,435.8,204.0,0.0,57.24914604391774,1.0,Markdown / Clear,0.0,87376.94243164062
SKU00030,82,105,44,0.375,3.932373046875,FreshFarm Frozen Meat 500ml,Frozen Foods,402.34,283.65,218.66666666666666,0.0,19.85254858136214,1.0,Markdown / Clear,0.0,22143.882385253906
SKU00035,594,298,113,0.375,2.101318359375,PremiumSelect Air Fresheners Large,Home Care,215.32,130.18,1584.0,0.0,281.6796793307773,1.0,Markdown / Clear,0.0,77053.37037597656
SKU00036,134,85,25,1.625,12.260986328125,CleanWave Air Fresheners Medium,Home Care,188.79,145.16,82.46153846153847,0.0,9.928973935206388,1.0,Markdown / Clear,0.0,17671.635224609374
SKU00041,123,115,46,0.25,1.310791015625,NovaFresh Small Appliances Family Pack,Electronics & Accessories,2490.74,1754.57,492.0,0.0,92.83646861612964,1.0,Markdown / Clear,0.0,213512.23540771485
SKU00043,107,68,26,0.375,2.101318359375,NovaFresh First Aid Pack of 6,Health & Wellness,615.37,414.79,285.3333333333333,0.0,49.92041361682352,1.0,Markdown / Clear,0.0,43510.92415771484
SKU00046,324,244,97,0.5,5.2431640625,QuickBite Bottled Water Pack of 12,Beverages,154.0,120.46,648.0,0.0,60.7947476252561,1.0,Markdown / Clear,0.0,38397.44845703125
SKU00048,332,173,82,0.375,2.62158203125,BasicNeeds Energy Drinks 500ml,Beverages,111.68,83.14,885.3333333333334,0.0,125.64108772583349,1.0,Markdown / Clear,0.0,27384.521669921876
SKU00049,50,35,7,0.5,1.40087890625,CityFresh Oral Care 500ml,Personal Care,584.25,442.65,100.0,0.0,34.69187870338097,1.0,Markdown / Clear,0.0,21512.400952148437
SKU00062,228,1221,427,1.75,6.375371903865407,EverydayPlus Mobile Accessories Family Pack,Electronics & Accessories,499.45,291.09,130.28571428571428,0.0,34.76261956761502,1.0,Markdown / Clear,0.0,64512.71299250381
SKU00063,84,82,39,0.125,2.189697265625,PremiumSelect Women's Wear Pack of 12,Apparel & Footwear,1612.54,1264.03,672.0,0.0,37.361467276173485,1.0,Markdown / Clear,0.0,103410.67696533202
SKU00076,153,138,42,0.375,1.40087890625,TrueTaste Butter & Ghee Pack of 12,Dairy & Bakery,306.25,220.42,408.0,0.0,108.21714883234577,1.0,Markdown / Clear,0.0,33415.478271484375
SKU00078,69,30,14,0.25,2.189697265625,NatureBlend Ready Meals 500ml,Frozen Foods,820.53,653.46,276.0,0.0,30.511205262571078,1.0,Markdown / Clear,0.0,43657.86042480469
SKU00079,138,1142,378,1.875,10.339787874608973,DailyBest Frozen Vegetables 2kg,Frozen Foods,197.9,137.37,73.6,0.0,12.346502043710334,1.0,Markdown / Clear,0.0,17536.683339664967
SKU00085,308,167,51,0.125,1.799072265625,BasicNeeds Dishwashing 1L,Home Care,372.68,228.02,2464.0,0.0,170.19934862260823,1.0,Markdown / Clear,0.0,69819.93554199219
SKU00092,137,115,34,1.0,3.59814453125,NutriPlus OTC Medicine 2kg,Health & Wellness,809.88,630.38,137.0,0.0,37.075179807300856,1.0,Markdown / Clear,0.0,84093.86165039062
SKU00094,88,73,24,0.375,3.932373046875,ZestyCo OTC Medicine Small,Health & Wellness,1069.07,756.04,234.66666666666666,0.0,21.378344819022786,1.0,Markdown / Clear,0.0,63558.48868164062
SKU00096,127,76,24,0.5,4.6328125,PrimeCare Juices 250g,Beverages,210.25,133.12,254.0,0.0,26.413153456998312,1.0,Markdown / Clear,0.0,16289.52
SKU00107,278,240,88,0.625,7.1962890625,HealthFirst Mobile Accessories Family Pack,Electronics & Accessories,2511.78,1778.82,444.8,0.0,37.631021848283346,1.0,Markdown / Clear,0.0,481711.0570898437
SKU00110,134,83,25,0.375,3.932373046875,CityFresh Vitamins & Supplements Medium,Health & Wellness,286.87,202.12,357.3333333333333,0.0,33.07611597442106,1.0,Markdown / Clear,0.0,26289.268759765626
SKU00118,351,159,53,0.125,0.700439453125,SunriseFoods Bath & Body 2L,Personal Care,289.69,175.46,2808.0,0.0,500.1139769954688,1.0,Markdown / Clear,0.0,61463.56089355469
SKU00119,5,22,11,0.25,1.40087890625,CleanWave OTC Medicine 250ml,Health & Wellness,963.94,713.33,20.0,0.0,2.569187870338097,1.0,Markdown / Clear,0.0,2567.361049804688
SKU00125,186,98,31,0.25,0.700439453125,GoldenHarvest Air Fresheners Small,Home Care,477.75,338.32,744.0,0.0,264.5475775531544,1.0,Markdown / Clear,0.0,62690.54732421875
SKU00126,140,143,47,0.5,3.59814453125,PurePlus Dishwashing Family Pack,Home Care,253.44,168.71,280.0,0.0,37.908942868774595,1.0,Markdown / Clear,0.0,23012.357036132813
SKU00128,124,53,25,0.25,2.62158203125,CrispKing Footwear 2L,Apparel & Footwear,741.97,459.21,496.0,0.0,46.29968336747998,1.0,Markdown / Clear,0.0,55738.183315429684
SKU00133,365,133,52,0.875,11.128662109375,PurePlus Small Appliances Pack of 12,Electronics & Accessories,1722.93,996.57,417.14285714285717,0.0,31.79819230853608,1.0,Markdown / Clear,0.0,352657.55920166016
SKU00138,495,315,106,0.625,0.700439453125,SmartBuy Ready Meals Pack of 12,Frozen Foods,668.4,504.37,792.0,0.0,705.6991983269431,1.0,Markdown / Clear,0.0,249309.86935302734
SKU00146,381,230,56,0.25,1.310791015625,SunriseFoods Ready Meals 250ml,Frozen Foods,703.46,478.32,1524.0,0.0,289.66418327435275,1.0,Markdown / Clear,0.0,181612.94244140625
SKU00151,261,89,22,0.375,3.932373046875,PurePlus Skin Care Pack of 12,Personal Care,201.86,115.36,696.0,0.0,65.37213633823804,1.0,Markdown / Clear,0.0,29655.3214453125
SKU00156,171,159,36,0.625,6.553955078125,SunriseFoods Coffee 1L,Beverages,164.3,103.08,273.6,0.0,25.09111566399702,1.0,Markdown / Clear,0.0,16951.098310546873
SKU00160,76,46,14,0.5,5.2431640625,PurePlus Bottled Water 1kg,Beverages,202.06,136.38,152.0,0.0,13.495064257776122,1.0,Markdown / Clear,0.0,9649.81728515625
SKU00163,179,60,23,0.375,1.799072265625,PrimeCare Juices 1kg,Beverages,151.67,109.94,477.3333333333333,0.0,98.49572533586647,1.0,Markdown / Clear,0.0,19481.469995117186
SKU00166,167,90,39,1.0,10.79443359375,EliteHome First Aid Small,Health & Wellness,830.77,621.98,167.0,0.0,14.470936807346089,1.0,Markdown / Clear,0.0,97156.73819335937
